world today:(2, '北美洲', '8', '美国', 337328, 368079, 0, 19828, 10923, '2.96', 'USA', 'United States of America', 'https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json')
world today:(2, '欧洲', '10', '意大利', 93187, 132547, 0, 22837, 16523, '12.46', 'ITA', 'Italy', 'https://file1.dxycdn.com/2020/0315/993/3402160517102843054-135.json')
world today:(2, '欧洲', '10', '德国', 89137, 99225, 0, 8481, 1607, '1.61', 'DEU', 'Germany', 'https://file1.dxycdn.com/2020/0315/631/3402160538577680475-135.json')
world today:(2, '欧洲', '10', '西班牙', 88632, 140510, 0, 38080, 13798, '9.81', 'ESP', 'Spain', 'https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json')
world today:(2, '欧洲', '5', '法国', 72637, 98984, 0, 17421, 8926, '9.01', 'FRA', 'France', 'https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json')
world today:(2, '欧洲', '10', '英国', 46100, 51608, 0, 135, 5373, '10.41', 'GBR', 'The United Kingdom', 'https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json')
world today:(2, '亚洲', '10', '伊朗', 31678, 62589, 0, 27039, 3872, '6.18', 'IRN', 'Iran (Islamic Republic of)', 'https://file1.dxycdn.com/2020/0315/596/3402160510660568739-135.json')
world today:(2, '亚洲', '10', '土耳其', 28242, 30217, 0, 1326, 649, '2.14', 'TUR', 'Turkey', 'https://file1.dxycdn.com/2020/0315/952/3402160538577680436-135.json')
world today:(2, '欧洲', '10', '比利时', 17287, 22194, 0, 2872, 2035, '9.16', 'BEL', 'Belgium', 'https://file1.dxycdn.com/2020/0315/838/3402160514955359353-135.json')
world today:(2, '欧洲', '10', '荷兰', 13982, 18803, 0, 2954, 1867, '9.92', 'NLD', 'Netherlands', 'https://file1.dxycdn.com/2020/0315/850/3402160510660568773-135.json')
world today:(2, '北美洲', '10', '加拿大', 13573, 16666, 0, 2770, 323, '1.93', 'CAN', 'Canada', 'https://file1.dxycdn.com/2020/0315/505/3402160534282712951-135.json')
world today:(2, '欧洲', '10', '瑞士', 13158, 21190, 0, 7298, 734, '3.46', 'CHE', 'Switzerland', 'https://file1.dxycdn.com/2020/0315/786/3402160525692954837-135.json')
world today:(2, '南美洲', '10', '巴西', 11503, 12056, 0, 0, 553, '4.58', 'BRA', 'Brazil', 'https://file1.dxycdn.com/2020/0315/559/3402160538577857305-135.json')
world today:(2, '欧洲', '10', '葡萄牙', 11279, 11730, 0, 140, 311, '2.65', 'PRT', 'Portugal', 'https://file1.dxycdn.com/2020/0315/256/3402160527840261777-135.json')
world today:(2, '欧洲', '10', '奥地利', 9272, 11983, 0, 2507, 204, '1.70', 'AUT', 'Austria', 'https://file1.dxycdn.com/2020/0315/012/3402160532135229192-135.json')
world today:(2, '亚洲', '10', '以色列', 8263, 9006, 0, 683, 60, '0.66', 'ISR', 'Israel', 'https://file1.dxycdn.com/2020/0315/982/3402160514955536220-135.json')
world today:(2, '欧洲', '10', '俄罗斯', 6945, 7497, 0, 494, 58, '0.77', 'RUS', 'Russian Federation', 'https://file1.dxycdn.com/2020/0315/629/3402160517102843039-135.json')
world today:(2, '欧洲', '10', '瑞典', 6712, 7206, 0, 17, 477, '6.61', 'SWE', 'Sweden', 'https://file1.dxycdn.com/2020/0315/516/3402160512807875646-135.json')
world today:(2, '欧洲', '10', '挪威', 5686, 5762, 0, 0, 76, '1.31', 'NOR', 'Norway', 'https://file1.dxycdn.com/2020/0315/616/3402160534282889764-135.json')
world today:(2, '大洋洲', '10', '澳大利亚', 5680, 5844, 0, 119, 45, '0.77', 'AUS', 'Australia', 'https://file1.dxycdn.com/2020/0315/646/3402160532135406038-135.json')
world today:(2, '欧洲', '10', '爱尔兰', 5190, 5364, 0, 0, 174, '3.24', 'IRL', 'Ireland', 'https://file1.dxycdn.com/2020/0315/153/3402160510660568721-135.json')
world today:(2, '欧洲', '10', '捷克', 4536, 4735, 0, 121, 78, '1.64', 'CZE', 'Czechia', 'https://file1.dxycdn.com/2020/0315/497/3402160532135229255-135.json')
world today:(2, '南美洲', '10', '智利', 4183, 4815, 0, 598, 34, '0.70', 'CHL', 'Chile', 'https://file1.dxycdn.com/2020/0315/808/3402160527840261646-135.json')
world today:(2, '欧洲', '10', '波兰', 4144, 4413, 0, 162, 107, '2.42', 'POL', 'Poland', 'https://file1.dxycdn.com/2020/0315/811/3402160506365424422-135.json')
world today:(2, '亚洲', '10', '印度', 3981, 4421, 0, 326, 114, '2.57', 'IND', 'India', 'https://file1.dxycdn.com/2020/0315/045/3402160534282889835-135.json')
world today:(2, '欧洲', '10', '丹麦', 3600, 4681, 0, 894, 187, '3.99', 'DNK', 'Denmark', 'https://file1.dxycdn.com/2020/0315/831/3402160489185731552-135.json')
world today:(2, '亚洲', '6', '日本', 3599, 4100, 0, 404, 97, '2.36', 'JPN', 'Japan', 'https://file1.dxycdn.com/2020/0315/220/3402160536430373556-135.json')
world today:(2, '南美洲', '10', '厄瓜多尔', 3567, 3747, 0, 0, 180, '4.80', 'ECU', 'Ecuador', 'https://file1.dxycdn.com/2020/0315/922/3402160517103019900-135.json')
world today:(2, '欧洲', '10', '罗马尼亚', 3526, 4057, 0, 374, 157, '3.86', 'ROU', 'Romania', 'https://file1.dxycdn.com/2020/0315/131/3402160534282712963-135.json')
world today:(2, '亚洲', '10', '菲律宾', 3503, 3764, 0, 84, 177, '4.70', 'PHL', 'Philippines', 'https://file1.dxycdn.com/2020/0315/180/3402160512807875628-135.json')
world today:(2, '亚洲', '7', '韩国', 3445, 10331, 0, 6694, 192, '1.85', 'KOR', 'Republic of Korea', 'https://file1.dxycdn.com/2020/0315/779/3402160514955536234-135.json')
world today:(2, '亚洲', '10', '巴基斯坦', 3349, 3658, 0, 257, 52, '1.42', 'PAK', 'Pakistan', 'https://file1.dxycdn.com/2020/0315/432/3402160525692777910-135.json')
world today:(2, '亚洲', '4', '马来西亚', 2579, 3963, 0, 1321, 63, '1.58', 'MYS', 'Malaysia', 'https://file1.dxycdn.com/2020/0315/777/3402160506365601260-135.json')
world today:(2, '欧洲', '10', '卢森堡', 2527, 2804, 0, 241, 36, '1.28', 'LUX', 'Luxembourg', 'https://file1.dxycdn.com/2020/0315/943/3402160538577857289-135.json')
world today:(2, '亚洲', '10', '印度尼西亚', 2453, 2738, 0, 64, 221, '8.07', 'IDN', 'Indonesia', 'https://file1.dxycdn.com/2020/0315/308/3402160527840438594-135.json')
world today:(2, '北美洲', '10', '墨西哥', 2313, 2439, 0, 1, 125, '5.12', 'MEX', 'Mexico', 'https://file1.dxycdn.com/2020/0315/566/3402160534282889843-135.json')
world today:(2, '亚洲', '999', '中国', 2288, 83095, 0, 77467, 3340, '4.01', 'CHN', 'China', 'https://file1.dxycdn.com/2020/0407/782/3406393542380691089-135.json')
world today:(2, '亚洲', '10', '沙特阿拉伯', 2163, 2752, 0, 551, 38, '1.38', 'SAU', 'Saudi Arabia', 'https://file1.dxycdn.com/2020/0315/830/3402160536430373532-135.json')
world today:(2, '欧洲', '10', '塞尔维亚', 2142, 2200, 0, 0, 58, '2.63', 'SRB', 'Serbia', 'https://file1.dxycdn.com/2020/0315/316/3402160534282712994-135.json')
world today:(2, '欧洲', '10', '芬兰', 2138, 2176, 0, 10, 28, '1.28', 'FIN', 'Finland', 'https://file1.dxycdn.com/2020/0315/473/3402160538577857276-135.json')
world today:(2, '北美洲', '10', '巴拿马', 2041, 2100, 0, 4, 55, '2.61', 'PAN', 'Panama', 'https://file1.dxycdn.com/2020/0315/692/3402160525692954763-135.json')
world today:(2, '亚洲', '10', '阿联酋', 1898, 2076, 0, 167, 11, '0.52', 'ARE', 'United Arab Emirates', 'https://file1.dxycdn.com/2020/0315/584/3402160508513084973-135.json')
world today:(2, '亚洲', '10', '卡塔尔', 1697, 1832, 0, 131, 4, '0.21', 'QAT', 'Qatar', 'https://file1.dxycdn.com/2020/0315/741/3402160510660391882-135.json')
world today:(2, '欧洲', '10', '希腊', 1657, 1755, 0, 19, 79, '4.50', 'GRC', 'Greece', 'https://file1.dxycdn.com/2020/0315/800/3402160534282889817-135.json')
world today:(2, '非洲', '10', '南非', 1630, 1686, 0, 45, 11, '0.65', 'ZAF', 'South Africa', 'https://file1.dxycdn.com/2020/0315/417/3402160540725164203-135.json')
world today:(2, '南美洲', '10', '哥伦比亚', 1448, 1579, 0, 85, 46, '2.91', 'COL', 'Colombia', 'https://file1.dxycdn.com/2020/0315/269/3402160512808052512-135.json')
world today:(2, '北美洲', '10', '多米尼加', 1420, 1488, 0, 0, 68, '4.56', 'DOM', 'Dominican Republic', 'https://file1.dxycdn.com/2020/0315/651/3402160506365601251-135.json')
world today:(2, '亚洲', '2', '泰国', 1408, 2258, 0, 824, 26, '1.15', 'THA', 'Thailand', 'https://file1.dxycdn.com/2020/0315/926/3402160512808052473-135.json')
world today:(2, '欧洲', '10', '乌克兰', 1389, 1462, 0, 28, 45, '3.07', 'UKR', 'Ukraine', 'https://file1.dxycdn.com/2020/0315/280/3402160525692954803-135.json')
world today:(2, '南美洲', '10', '阿根廷', 1335, 1628, 0, 240, 53, '3.25', 'ARG', 'Argentina', 'https://file1.dxycdn.com/2020/0315/963/3402160508513085001-135.json')
world today:(2, '南美洲', '10', '秘鲁', 1284, 2281, 0, 914, 83, '3.63', 'PER', 'Peru', 'https://file1.dxycdn.com/2020/0315/005/3402160540725341040-135.json')
world today:(2, '欧洲', '10', '冰岛', 1096, 1562, 0, 460, 6, '0.38', 'ISL', 'Iceland', 'https://file1.dxycdn.com/2020/0315/786/3402160514955359317-135.json')
world today:(2, '欧洲', '10', '克罗地亚', 1077, 1222, 0, 130, 15, '1.22', 'HRV', 'Croatia', 'https://file1.dxycdn.com/2020/0315/154/3402160527840438555-135.json')
world today:(2, '非洲', '10', '阿尔及利亚', 1059, 1251, 0, 62, 130, '10.39', 'DZA', 'Algeria', 'https://file1.dxycdn.com/2020/0315/112/3402160514955536226-135.json')
world today:(2, '欧洲', '10', '爱沙尼亚', 1045, 1108, 0, 48, 15, '1.35', 'EST', 'Estonia', 'https://file1.dxycdn.com/2020/0315/704/3402160514955359338-135.json')
world today:(2, '亚洲', '3', '新加坡', 1025, 1375, 0, 344, 6, '0.43', 'SGP', 'Singapore', 'https://file1.dxycdn.com/2020/0315/901/3402160525692777969-135.json')
world today:(2, '欧洲', '10', '斯洛文尼亚', 991, 1021, 0, 0, 30, '2.93', 'SVN', 'Slovenia', 'https://file1.dxycdn.com/2020/0315/527/3402160510660391945-135.json')
